Date,Location,url,BoysRecord,GirlsRecord,Posted
2025-08-16,Croatan HS,https://nc.milesplit.com/meets/687737-light-up-the-night-2025/results,17:00.02,20:12.00,TRUE
2025-08-23,Havelock HS,https://nc.milesplit.com/meets/655522-fightertown-xc-invitational-2025/results,16:19.00,18:18.00,TRUE
2025-08-27,Boyd Lee Park,https://nc.milesplit.com/meets/690283-jh-rose-invitational-1st-10-teams-to-register-2025/results,15:16.00,18:24.38,FALSE
2025-09-03,NE Creek,https://nc.milesplit.com/meets/690507-bcc-round-up-ne-creek-park-jville-2025/results,15:24.00,17:44.54,FALSE
2025-09-06,Rocky Mount,https://nc.milesplit.com/meets/646980-knights-invitational-2025/results,15:37.00,18:15.00,FALSE
2025-09-10,New Bern,,16:00.00,18:35.00,FALSE
2025-09-10,Boyd Lee Park,https://nc.milesplit.com/meets/690511-bcc-jville-rose-white-oak-2025/results,15:16.00,18:24.38,FALSE
2025-09-13,ECU North Rec,https://nc.milesplit.com/meets/697197-pirate-xc-invitational-2025/results,99:99.99,99:99.99,FALSE
2025-09-17,Boyd Lee Park,https://nc.milesplit.com/meets/690514-bcc-round-up-pitt-county-2025/results,15:16.00,18:24.38,FALSE
2025-09-24,NE Creek,,15:24.00,17:44.54,FALSE
2025-09-24,New Bern,https://nc.milesplit.com/meets/690517-bcc-round-up-rose-jville-new-bern-2025/results,16:00.00,18:35.00,FALSE
2025-09-27,Boyd Lee Park,https://nc.milesplit.com/meets/690518-bo-run-2025/results,15:16.00,18:24.38,FALSE
2025-10-01,Boyd Lee Park,https://nc.milesplit.com/meets/690522-bcc-round-up-boyd-lee-all-teams-2025/results,15:16.00,18:24.38,FALSE
2025-10-04,WakeMed Park,https://nc.milesplit.com/meets/698296-great-american-xc-festival-2025/results,14:40.80,16:36.18,FALSE
2025-10-08,Boyd Lee Park,,15:16.00,18:24.38,FALSE
2025-10-15,New Bern,https://nc.milesplit.com/meets/690529-bcc-conference-championships-2025/results,16:00.00,18:35.00,FALSE
